TICKER,ISIN,SECTOR
SWANENERGY,INE665A01038,Diversified
VICTMILL,INE203D01016,Consumer Discretionary
ZSVTRADI,INE404N01019,Financial Services
ZSVARAJT,INE406N01014,Financial Services
KSHITIJ,INE733N01011,Financial Services
SALSAIN,INE315N01017,Financial Services
INDSOYA,INE314N01028,Services
ZODIACVEN,INE945J01027,Services
VEERENRGY,INE255E01030,Utilities
SW1,INE948K01011,Services
TILAK,INE026L01022,Financial Services
KKFIN,INE509J01013,Services
UNIJOLL,INE130N01010,Financial Services
WAGEND,INE786K01023,Services
ELCIDIN,INE927X01018,Financial Services
MEDIAONE,INE828I01019,Consumer Discretionary
HEALINV,INE160N01017,Services
SHRENTI,INE475V01012,Services
BANSWRAS,INE629D01020,Consumer Discretionary
MODWOOL,INE380D01012,Services
MODIPON,INE170C01019,Consumer Discretionary
SHRIDINE,INE204C01024,Consumer Discretionary
SRF,INE647A01010,Commodities
SIYSIL,INE076B01028,Consumer Discretionary
SWADPOL,INE243N01029,Consumer Discretionary
ZSATYASL,INE07MC01015,Financial Services
BBL,INE464A01036,Industrials
ELPROINTL,INE579B01039,Consumer Discretionary
GEE,INE064H01021,Industrials
HIRECT,INE835D01023,Industrials
NIPPOBATRY,INE567A01028,Fast Moving Consumer Goods
ZENSARTECH,INE520A01027,Information Technology
JYOTI,INE511D01012,Industrials
JSLINDL,INE581L01018,Industrials
KAYCEEI,INE813G01015,Industrials
INDOKEM,INE716F01012,Commodities
PANAENERG,INE795A01017,Fast Moving Consumer Goods
NELCO,INE045B01015,Information Technology
PERMAGN,INE418E01018,Industrials
HIGHENE,INE783E01023,Fast Moving Consumer Goods
STDBAT,INE502C01039,Financial Services
UNIVCABLES,INE279A01012,Industrials
WSI,INE100D01014,Industrials
DLTNCBL,INE872E01016,Industrials
LAKSELEC,INE284C01018,Industrials
MODULEX,INE064R01012,Industrials
DELTAMAGNT,INE393A01011,Industrials
CONFINT,INE180M01033,Financial Services
RELTD,INE206N01018,Utilities
GDTRAGN,INE713N01013,Financial Services
EMPOWER,INE507F01023,Information Technology
ZMULTIPU,INE017P01014,Services
RIDHISYN,INE07LK01010,Financial Services
GRANDMA,INE927M01029,Services
SOFTBPO,INE459E01012,Information Technology
NYSSACORP,INE812K01027,Services
FLOMIC,INE952M01019,Services
KRISHNA,INE537L01010,Consumer Discretionary
GANHOLD,INE932M01011,Services
UNIABEXAL,INE361D01012,Industrials
SARDAEN,INE385C01021,Commodities
BGWTATO,INE106G01014,Consumer Discretionary
BOMBWIR,INE089T01023,Industrials
IBRIGST,INE566M01017,Industrials
INDIANHUME,INE323C01030,Industrials
INVPRECQ,INE155E01016,Industrials
INFORTEC,INE123E01014,Services
KAIRA,INE375D01012,Industrials
ORIENTCER,INE569C01020,Industrials
NATIONSTD,INE166R01015,Consumer Discretionary
RATHIST,INE336C01016,Industrials
DUNCANENG,INE340F01011,Consumer Discretionary
SANDUMA,INE149K01016,Energy
STOVACQ,INE755D01015,Industrials
TATAYODOGA,INE895C01011,Industrials
CHOLAHLDNG,INE149A01033,Financial Services
ZWELCAST,INE380G01015,Industrials
WMINIMT,INE187U01015,Industrials
AUTOAXLES,INE449A01011,Consumer Discretionary
AUTOPRD,INE0NY101012,Consumer Discretionary
ACGL,INE451C01013,Consumer Discretionary
SETCO,INE878E01021,Consumer Discretionary
INRADIA,INE461Y01016,Consumer Discretionary
TALBROAUTO,INE187D01029,Consumer Discretionary
ZFSTEERING,INE116C01012,Consumer Discretionary
SMLISUZU,INE294B01019,Industrials
TIL,INE806C01018,Industrials
EICHERMOT,INE066A01021,Consumer Discretionary
JAINEX,INE280F01019,Consumer Discretionary
ALFREDHE,INE782D01027,Financial Services
VELJAN,INE232E01013,Consumer Discretionary
DYNAMATECH,INE221B01012,Industrials
GGDPROP,INE631D01026,Industrials
GMMPFAUDLR,INE541A01023,Industrials
KIRLPNU,INE811A01020,Industrials
TULIVE,INE637D01015,Industrials
KPT,INE731D01024,Industrials
LXMIATO,INE718M01022,Industrials
MANUGRAPH,INE867A01022,Industrials
HARSHILAGR,INE098E01018,Industrials
MONOT,INE811D01024,Services
NESCO,INE317F01035,Services
INTEGRAEN,INE984B01023,Industrials
SEMAC,INE617A01013,Industrials
TEXINFRA,INE435C01024,Services
WENDT,INE274C01019,Industrials
PSITINFRA,INE953M01033,Financial Services
SINDUVA,INE809Q01012,Information Technology
RESPONIND,INE688D01026,Consumer Discretionary
SHYMINV,INE203N01015,Financial Services
ZHEMHOLD,INE721U01011,Services
MAHACORP,INE272E01027,Services
DOLATALGO,INE966A01022,Financial Services
WESTLIFE,INE274F01020,Consumer Discretionary
ZEEL,INE256A01028,Consumer Discretionary
ZKOVALIN,INE735U01011,Services
SVPGLOB,INE308E01029,Consumer Discretionary
MULTIIN,INE886E01016,Services
SKYLMILAR,INE178E01026,Consumer Discretionary
BIMETAL,INE469A01019,Consumer Discretionary
TAPARIA,INE614R01014,Industrials
BHARATGEAR,INE561C01019,Consumer Discretionary
